 S0066 , 3PARA RAT ,T1071,,T1071
 S0066 , 3PARA RAT ,T1071.001,[3PARA RAT](https://attack.mitre.org/software/S0066) uses HTTP for command and control.(Citation: CrowdStrike Putter Panda),T1071
 S0066 , 3PARA RAT ,T1573,,T1071
 S0066 , 3PARA RAT ,T1573.001,[3PARA RAT](https://attack.mitre.org/software/S0066) command and control commands are encrypted within the HTTP C2 channel using the DES algorithm in CBC mode with a key derived from the MD5 hash of the string HYF54&amp;%9&amp;jkMCXuiS. [3PARA RAT](https://attack.mitre.org/software/S0066) will use an 8-byte XOR key derived from the string HYF54&amp;%9&amp;jkMCXuiS if the DES decoding fails(Citation: CrowdStrike Putter Panda),T1071
 S0066 , 3PARA RAT ,T1083,[3PARA RAT](https://attack.mitre.org/software/S0066) has a command to retrieve metadata for files on disk as well as a command to list the current working directory.(Citation: CrowdStrike Putter Panda),T1071
 S0066 , 3PARA RAT ,T1070,,T1071
 S0066 , 3PARA RAT ,T1070.006,[3PARA RAT](https://attack.mitre.org/software/S0066) has a command to set certain attributes such as creation/modification timestamps on files.(Citation: CrowdStrike Putter Panda),T1071
 S0065 , 4H RAT ,T1071,,T1071
 S0065 , 4H RAT ,T1071.001,[4H RAT](https://attack.mitre.org/software/S0065) uses HTTP for command and control.(Citation: CrowdStrike Putter Panda),T1071
 S0065 , 4H RAT ,T1059,,T1071
 S0065 , 4H RAT ,T1059.003,[4H RAT](https://attack.mitre.org/software/S0065) has the capability to create a remote shell.(Citation: CrowdStrike Putter Panda),T1071
 S0065 , 4H RAT ,T1573,,T1071
 S0065 , 4H RAT ,T1573.001,[4H RAT](https://attack.mitre.org/software/S0065) obfuscates C2 communication using a 1-byte XOR with the key 0xBE.(Citation: CrowdStrike Putter Panda),T1071
 S0065 , 4H RAT ,T1083,[4H RAT](https://attack.mitre.org/software/S0065) has the capability to obtain file and directory listings.(Citation: CrowdStrike Putter Panda),T1071
 S0065 , 4H RAT ,T1057,[4H RAT](https://attack.mitre.org/software/S0065) has the capability to obtain a listing of running processes (including loaded modules).(Citation: CrowdStrike Putter Panda),T1071
 S0065 , 4H RAT ,T1082,[4H RAT](https://attack.mitre.org/software/S0065) sends an OS version identifier in its beacons.(Citation: CrowdStrike Putter Panda),T1071
 S0677 , AADInternals ,T1087,,AADInternals
 S0677 , AADInternals ,T1087.004,[AADInternals](https://attack.mitre.org/software/S0677) can enumerate Azure AD users.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1098,,AADInternals
 S0677 , AADInternals ,T1098.005,[AADInternals](https://attack.mitre.org/software/S0677) can register a device to Azure AD.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1651,[AADInternals](https://attack.mitre.org/software/S0677) can execute commands on Azure virtual machines using the VM agent.(Citation: AADInternals Root Access to Azure VMs),AADInternals
 S0677 , AADInternals ,T1526,"[AADInternals](https://attack.mitre.org/software/S0677) can enumerate information about a variety of cloud services, such as Office 365 and Sharepoint instances or OpenID Configurations.(Citation: AADInternals Documentation)",AADInternals
 S0677 , AADInternals ,T1059,,AADInternals
 S0677 , AADInternals ,T1059.001,[AADInternals](https://attack.mitre.org/software/S0677) is written and executed via PowerShell.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1136,,AADInternals
 S0677 , AADInternals ,T1136.003,[AADInternals](https://attack.mitre.org/software/S0677) can create new Azure AD users.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1530,AADInternals can collect files from a user’s OneDrive.(Citation: AADInternals),AADInternals
 S0677 , AADInternals ,T1484,,AADInternals
