 S0066 , 3PARA RAT 
 S0065 , 4H RAT 
 S0677 , AADInternals 
 S0469 , ABK 
 S1061 , AbstractEmu 
 S1000 , ACAD/Medre.A 
 S1125 , AcidRain 
 S1028 , Action RAT 
 S0202 , adbupd 
 S0552 , AdFind 
 S0309 , Adups 
 S0045 , ADVSTORESHELL 
 S0440 , Agent Smith 
 S0331 , Agent Tesla 
 S0092 , Agent.btz 
 S1095 , AhRat 
 S1129 , Akira 
 S0319 , Allwinner 
 S1025 , Amadey 
 S0504 , Anchor 
 S0525 , Android/AdDisplay.Ashas 
 S0304 , Android/Chuli.A 
 S0524 , AndroidOS/MalLocker.B 
 S0310 , ANDROIDOS_ANSERVER.A 
 S1074 , ANDROMEDA 
 S0292 , AndroRAT 
 S0422 , Anubis 
 S0584 , AppleJeus 
 S0622 , AppleSeed 
 S0456 , Aria-body 
 S0099 , Arp 
 S0540 , Asacub 
 S0073 , ASPXSpy 
 S0373 , Astaroth 
 S1087 , AsyncRAT 
 S0110 , at 
 S0438 , Attor 
 S0347 , AuditCred 
 S1029 , AuTo Stealer 
 S0129 , AutoIt backdoor 
 S0640 , Avaddon 
 S0473 , Avenger 
 S1053 , AvosLocker 
 S0344 , Azorult 
 S0638 , Babuk 
 S0414 , BabyShark 
 S0475 , BackConfig 
 S0093 , Backdoor.Oldrea 
 S0031 , BACKSPACE 
 S0606 , Bad Rabbit 
 S0245 , BADCALL 
 S0642 , BADFLICK 
 S1081 , BADHATCH 
 S0128 , BADNEWS 
 S0337 , BadPatch 
 S0234 , Bandook 
 S0239 , Bankshot 
 S0534 , Bazar 
 S0470 , BBK 
 S0127 , BBSRAT 
 S0574 , BendyBear 
 S0017 , BISCUIT 
 S0268 , Bisonal 
 S0570 , BitPaymer 
 S0190 , BITSAdmin 
 S1070 , Black Basta 
 S1068 , BlackCat 
 S0069 , BLACKCOFFEE 
 S0089 , BlackEnergy 
 S0564 , BlackMould 
 S0520 , BLINDINGCAN 
 S0521 , BloodHound 
 S0657 , BLUELIGHT 
 S0486 , Bonadan 
 S0360 , BONDUPDATER 
 S0635 , BoomBox 
 S0415 , BOOSTWRITE 
 S0114 , BOOTRASH 
 S1079 , BOULDSPY 
 S0651 , BoxCaon 
 S0293 , BrainTest 
 S1094 , BRATA 
 S0252 , Brave Prince 
 S0432 , Bread 
 S0204 , Briba 
 S1063 , Brute Ratel C4 
 S0014 , BS2005 
 S0043 , BUBBLEWRAP 
 S0471 , build_downer 
 S1039 , Bumblebee 
 S0482 , Bundlore 
 S1118 , BUSHWALK 
 S0655 , BusyGasper 
 S0119 , Cachedump 
 S0693 , CaddyWiper 
 S0454 , Cadelspy 
 S0025 , CALENDAR 
 S0274 , Calisto 
 S0077 , CallMe 
 S0351 , Cannon 
 S0030 , Carbanak 
 S0484 , Carberp 
 S0335 , Carbon 
 S0529 , CarbonSteal 
 S0348 , Cardinal RAT 
 S0465 , CARROTBALL 
 S0462 , CARROTBAT 
 S0261 , Catchamas 
 S0572 , Caterpillar WebShell 
 S0222 , CCBkdr 
 S1043 , ccf32 
 S0480 , Cerberus 
 S0160 , certutil 
 S0631 , Chaes 
 S1083 , Chameleon 
 S0220 , Chaos 
 S0323 , Charger 
 S0674 , CharmPower 
 S0144 , ChChes 
 S1096 , Cheerscrypt 
 S0555 , CHEMISTGAMES 
 S0107 , Cherry Picker 
 S0020 , China Chopper 
 S1041 , Chinoxy 
 S0023 , CHOPSTICK 
 S0667 , Chrommme 
 S0602 , Circles 
 S0660 , Clambling 
 S0611 , Clop 
 S0054 , CloudDuke 
 S0106 , cmd 
 S1105 , COATHANGER 
 S0154 , Cobalt Strike 
 S0338 , Cobian RAT 
 S0369 , CoinTicker 
 S0244 , Comnie 
 S0126 , ComRAT 
 S0426 , Concipit1248 
 S0608 , Conficker 
 S0591 , ConnectWise 
 S0575 , Conti 
 S0492 , CookieMiner 
 S0212 , CORALDECK 
 S0137 , CORESHELL 
 S0425 , Corona Updates 
 S0050 , CosmicDuke 
 S0614 , CostaBricks 
 S0046 , CozyCar 
 S0488 , CrackMapExec 
 S1023 , CreepyDrive 
 S1024 , CreepySnail 
 S0115 , Crimson 
 S0235 , CrossRAT 
 S0538 , Crutch 
 S0498 , Cryptoistic 
 S0527 , CSPY Downloader 
 S0625 , Cuba 
 S0687 , Cyclops Blink 
 S0497 , Dacls 
 S1014 , DanBot 
 S0334 , DarkComet 
 S1111 , DarkGate 
 S1066 , DarkTortilla 
 S0673 , DarkWatchman 
 S0187 , Daserf 
 S1033 , DCSrv 
 S0255 , DDKONG 
 S1052 , DEADEYE 
 S0243 , DealersChoice 
 S0616 , DEATHRANSOM 
 S0479 , DEFENSOR ID 
 S0301 , Dendroid 
 S0354 , Denis 
 S0021 , Derusbi 
 S0505 , Desert Scorpion 
 S0659 , Diavol 
 S0200 , Dipsind 
 S1088 , Disco 
 S1021 , DnsSystem 
 S0213 , DOGCALL 
 S0281 , Dok 
 S0600 , Doki 
 S0695 , Donut 
 S0550 , DoubleAgent 
 S0472 , down_new 
 S0134 , Downdelph 
 S0186 , DownPaper 
 S0694 , DRATzarus 
 S0300 , DressCode 
 S0384 , Dridex 
 S1054 , Drinik 
 S0320 , DroidJack 
 S0547 , DropBook 
 S0502 , Drovorub 
 S0105 , dsquery 
 S0567 , Dtrack 
 S0315 , DualToy 
 S0038 , Duqu 
 S0062 , DustySky 
 S0420 , Dvmap 
 S0024 , Dyre 
 S0377 , Ebury 
 S0593 , ECCENTRICBANDWAGON 
 S0624 , Ecipekac 
 S0554 , Egregor 
 S0605 , EKANS 
 S0081 , Elise 
 S0064 , ELMER 
 S0082 , Emissary 
 S0367 , Emotet 
 S0363 , Empire 
 S0634 , EnvyScout 
 S0091 , Epic 
 S1092 , Escobar 
 S0404 , esentutl 
 S0507 , eSurv 
 S0478 , EventBot 
 S0396 , EvilBunny 
 S0152 , EvilGrab 
 S0568 , EVILNUM 
 S0401 , Exaramel for Linux 
 S0343 , Exaramel for Windows 
 S0522 , Exobot 
 S0405 , Exodus 
 S0361 , Expand 
 S0569 , Explosive 
 S1080 , Fakecalls 
 S0076 , FakeM 
 S0509 , FakeSpy 
 S0181 , FALLCHILL 
 S0512 , FatDuke 
 S0171 , Felismus 
 S0267 , FELIXROOT 
 S0679 , Ferocious 
 S0120 , Fgdump 
 S0355 , Final1stspy 
 S0182 , FinFisher 
 S0618 , FIVEHANDS 
 S0696 , Flagpro 
 S0143 , Flame 
 S0036 , FLASHFLOOD 
 S0381 , FlawedAmmyy 
 S0383 , FlawedGrace 
 S0408 , FlexiSpy 
 S0173 , FLIPSIDE 
 S1103 , FlixOnline 
 S1067 , FluBot 
 S1093 , FlyTrap 
 S0661 , FoggyWeb 
 S0193 , Forfiles 
 S1120 , FRAMESTING 
 S0503 , FrameworkPOS 
 S0577 , FrozenCell 
 S0277 , FruitFly 
 S0095 , ftp 
 S1044 , FunnyDream 
 S0628 , FYAnti 
 S0410 , Fysbis 
 S0168 , Gazer 
 S0666 , Gelsemium 
 S0049 , GeminiDuke 
 S0460 , Get2 
 S0032 , gh0st RAT 
 S0423 , Ginp 
 S1117 , GLASSTOKEN 
 S0026 , GLOOXMAIL 
 S0249 , Gold Dragon 
 S0535 , Golden Cup 
 S0551 , GoldenEagle 
 S0493 , GoldenSpy 
 S0597 , GoldFinder 
 S0588 , GoldMax 
 S0421 , GolfSpy 
 S0290 , Gooligan 
 S0477 , Goopy 
 S0536 , GPlayed 
 S0531 , Grandoreiro 
 S0237 , GravityRAT 
 S0690 , Green Lambert 
 S0342 , GreyEnergy 
 S0417 , GRIFFON 
 S0632 , GrimAgent 
 S0008 , gsecdump 
 S0561 , GuLoader 
 S0406 , Gustuff 
 S0132 , H1N1 
 S0047 , Hacking Team UEFI Rootkit 
 S0151 , HALFBAKED 
 S0037 , HAMMERTOSS 
 S0499 , Hancitor 
 S0214 , HAPPYWORK 
 S0246 , HARDRAIN 
 S0224 , Havij 
 S0391 , HAWKBALL 
 S0071 , hcdLoader 
 S0061 , HDoor 
 S0617 , HELLOKITTY 
 S0170 , Helminth 
 S0544 , HenBox 
 S0697 , HermeticWiper 
 S0698 , HermeticWizard 
 S1027 , Heyoka Backdoor 
 S0087 , Hi-Zor 
 S0394 , HiddenWasp 
 S0135 , HIDEDRV 
 S0009 , Hikit 
 S1128 , HilalRAT 
 S0601 , Hildegard 
 S0232 , HOMEFRY 
 S0376 , HOPLIGHT 
 S1077 , Hornbill 
 S0431 , HotCroissant 
 S0040 , HTRAN 
 S0070 , HTTPBrowser 
 S0068 , httpclient 
