gid,name,tactic_id,tactic,TTP,technique,description
G0007,APT28,TA0004,Privilege Escalation,T1134,Access Token Manipulation,nan
G0007,APT28,TA0005,Defense Evasion,T1134,Access Token Manipulation,nan
G0007,APT28,TA0004,Privilege Escalation,T1134.001,Token Impersonation/Theft,[APT28](https://attack.mitre.org/groups/G0007) has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation.(Citation: FireEye Op RussianDoll)
G0007,APT28,TA0005,Defense Evasion,T1134.001,Token Impersonation/Theft,[APT28](https://attack.mitre.org/groups/G0007) has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation.(Citation: FireEye Op RussianDoll)
G0007,APT28,TA0003,Persistence,T1098,Account Manipulation,nan
G0007,APT28,TA0004,Privilege Escalation,T1098,Account Manipulation,nan
G0007,APT28,TA0003,Persistence,T1098.002,Additional Email Delegate Permissions,[APT28](https://attack.mitre.org/groups/G0007) has used a Powershell cmdlet to grant the ApplicationImpersonation role to a compromised account.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,APT28,TA0004,Privilege Escalation,T1098.002,Additional Email Delegate Permissions,[APT28](https://attack.mitre.org/groups/G0007) has used a Powershell cmdlet to grant the ApplicationImpersonation role to a compromised account.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,APT28,TA0003,Persistence,T1547,Boot or Logon Autostart Execution,nan
G0007,APT28,TA0004,Privilege Escalation,T1547,Boot or Logon Autostart Execution,nan
G0007,APT28,TA0003,Persistence,T1547.001,Registry Run Keys / Startup Folder,[APT28](https://attack.mitre.org/groups/G0007) has deployed malware that has copied itself to the startup directory for persistence.(Citation: TrendMicro Pawn Storm Dec 2020)
G0007,APT28,TA0004,Privilege Escalation,T1547.001,Registry Run Keys / Startup Folder,[APT28](https://attack.mitre.org/groups/G0007) has deployed malware that has copied itself to the startup directory for persistence.(Citation: TrendMicro Pawn Storm Dec 2020)
G0007,APT28,TA0003,Persistence,T1037,Boot or Logon Initialization Scripts,nan
G0007,APT28,TA0004,Privilege Escalation,T1037,Boot or Logon Initialization Scripts,nan
G0007,APT28,TA0003,Persistence,T1037.001,Logon Script (Windows),An [APT28](https://attack.mitre.org/groups/G0007) loader Trojan adds the Registry key HKCU\Environment\UserInitMprLogonScript to establish persistence.(Citation: Unit 42 Playbook Dec 2017)
G0007,APT28,TA0004,Privilege Escalation,T1037.001,Logon Script (Windows),An [APT28](https://attack.mitre.org/groups/G0007) loader Trojan adds the Registry key HKCU\Environment\UserInitMprLogonScript to establish persistence.(Citation: Unit 42 Playbook Dec 2017)
G0007,APT28,TA0006,Credential Access,T1110,Brute Force,[APT28](https://attack.mitre.org/groups/G0007) can perform brute force attacks to obtain credentials.(Citation: TrendMicro Pawn Storm 2019)(Citation: TrendMicro Pawn Storm Dec 2020)(Citation: Microsoft Targeting Elections September 2020)
G0007,APT28,TA0006,Credential Access,T1110.001,Password Guessing,"[APT28](https://attack.mitre.org/groups/G0007) has used a brute-force/password-spray tooling that operated in two modes: in brute-force mode it typically sent over 300 authentication attempts per hour per targeted account over the course of several hours or days.(Citation: Microsoft STRONTIUM New Patterns Cred Harvesting Sept 2020) [APT28](https://attack.mitre.org/groups/G0007) has also used a Kubernetes cluster to conduct distributed, large-scale password guessing attacks.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)"
G0007,APT28,TA0006,Credential Access,T1110.003,Password Spraying,"[APT28](https://attack.mitre.org/groups/G0007) has used a brute-force/password-spray tooling that operated in two modes: in password-spraying mode it conducted approximately four authentication attempts per hour per targeted account over the course of several days or weeks.(Citation: Microsoft STRONTIUM New Patterns Cred Harvesting Sept 2020)(Citation: Microsoft Targeting Elections September 2020) [APT28](https://attack.mitre.org/groups/G0007) has also used a Kubernetes cluster to conduct distributed, large-scale password spray attacks.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)"
G0007,APT28,TA0002,Execution,T1059,Command and Scripting Interpreter,nan
G0007,APT28,TA0002,Execution,T1059.001,PowerShell,[APT28](https://attack.mitre.org/groups/G0007) downloads and executes PowerShell scripts and performs PowerShell commands.(Citation: Palo Alto Sofacy 06-2018)(Citation: TrendMicro Pawn Storm Dec 2020)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,APT28,TA0002,Execution,T1059.003,Windows Command Shell,An [APT28](https://attack.mitre.org/groups/G0007) loader Trojan uses a cmd.exe and batch script to run its payload.(Citation: Unit 42 Playbook Dec 2017) The group has also used macros to execute payloads.(Citation: Talos Seduploader Oct 2017)(Citation: Unit42 Cannon Nov 2018)(Citation: Accenture SNAKEMACKEREL Nov 2018)(Citation: TrendMicro Pawn Storm Dec 2020)
G0007,APT28,TA0005,Defense Evasion,T1140,Deobfuscate/Decode Files or Information,An [APT28](https://attack.mitre.org/groups/G0007) macro uses the command certutil -decode to decode contents of a .txt file storing the base64 encoded payload.(Citation: Unit 42 Sofacy Feb 2018)(Citation: Palo Alto Sofacy 06-2018)
G0007,APT28,TA0003,Persistence,T1546,Event Triggered Execution,nan
G0007,APT28,TA0004,Privilege Escalation,T1546,Event Triggered Execution,nan
G0007,APT28,TA0003,Persistence,T1546.015,Component Object Model Hijacking,[APT28](https://attack.mitre.org/groups/G0007) has used COM hijacking for persistence by replacing the legitimate MMDeviceEnumerator object with a payload.(Citation: ESET Sednit Part 1)(Citation: ESET Zebrocy May 2019)
G0007,APT28,TA0004,Privilege Escalation,T1546.015,Component Object Model Hijacking,[APT28](https://attack.mitre.org/groups/G0007) has used COM hijacking for persistence by replacing the legitimate MMDeviceEnumerator object with a payload.(Citation: ESET Sednit Part 1)(Citation: ESET Zebrocy May 2019)
G0007,APT28,TA0002,Execution,T1203,Exploitation for Client Execution,[APT28](https://attack.mitre.org/groups/G0007) has exploited Microsoft Office vulnerability CVE-2017-0262 for execution.(Citation: Securelist Sofacy Feb 2018)
G0007,APT28,TA0005,Defense Evasion,T1211,Exploitation for Defense Evasion,[APT28](https://attack.mitre.org/groups/G0007) has used CVE-2015-4902 to bypass security features.(Citation: Bitdefender APT28 Dec 2015)(Citation: Microsoft SIR Vol 19)
G0007,APT28,TA0004,Privilege Escalation,T1068,Exploitation for Privilege Escalation,"[APT28](https://attack.mitre.org/groups/G0007) has exploited CVE-2014-4076, CVE-2015-2387, CVE-2015-1701, CVE-2017-0263 to escalate privileges.(Citation: Bitdefender APT28 Dec 2015)(Citation: Microsoft SIR Vol 19)(Citation: Securelist Sofacy Feb 2018)"
G0007,APT28,TA0008,Lateral Movement,T1210,Exploitation of Remote Services,[APT28](https://attack.mitre.org/groups/G0007) exploited a Windows SMB Remote Code Execution Vulnerability to conduct lateral movement.(Citation: FireEye APT28)(Citation: FireEye APT28 Hospitality Aug 2017)(Citation: MS17-010 March 2017)
G0007,APT28,TA0003,Persistence,T1133,External Remote Services,[APT28](https://attack.mitre.org/groups/G0007) has used [Tor](https://attack.mitre.org/software/S0183) and a variety of commercial VPN services to route brute force authentication attempts.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,APT28,TA0007,Discovery,T1083,File and Directory Discovery,"[APT28](https://attack.mitre.org/groups/G0007) has used [Forfiles](https://attack.mitre.org/software/S0193) to locate PDF, Excel, and Word documents during collection. The group also searched a compromised DCCC computer for specific terms.(Citation: Überwachung APT28 Forfiles June 2015)(Citation: DOJ GRU Indictment Jul 2018)"
G0007,APT28,TA0005,Defense Evasion,T1564,Hide Artifacts,nan
G0007,APT28,TA0005,Defense Evasion,T1564.001,Hidden Files and Directories,[APT28](https://attack.mitre.org/groups/G0007) has saved files with hidden file attributes.(Citation: Talos Seduploader Oct 2017)(Citation: Talos Seduploader Oct 2017)
G0007,APT28,TA0005,Defense Evasion,T1564.003,Hidden Window,[APT28](https://attack.mitre.org/groups/G0007) has used the WindowStyle parameter to conceal [PowerShell](https://attack.mitre.org/techniques/T1059/001) windows.(Citation: Palo Alto Sofacy 06-2018) (Citation: McAfee APT28 DDE1 Nov 2017)
G0007,APT28,TA0005,Defense Evasion,T1070,Indicator Removal,nan
G0007,APT28,TA0005,Defense Evasion,T1070.001,Clear Windows Event Logs,"[APT28](https://attack.mitre.org/groups/G0007) has cleared event logs, including by using the commands wevtutil cl System and wevtutil cl Security.(Citation: Crowdstrike DNC June 2016)(Citation: DOJ GRU Indictment Jul 2018)"
G0007,APT28,TA0005,Defense Evasion,T1070.004,File Deletion,"[APT28](https://attack.mitre.org/groups/G0007) has intentionally deleted computer files to cover their tracks, including with use of the program CCleaner.(Citation: DOJ GRU Indictment Jul 2018)"
G0007,APT28,TA0005,Defense Evasion,T1070.006,Timestomp,[APT28](https://attack.mitre.org/groups/G0007) has performed timestomping on victim files.(Citation: Crowdstrike DNC June 2016)
G0007,APT28,TA0006,Credential Access,T1056,Input Capture,nan
G0007,APT28,TA0006,Credential Access,T1056.001,Keylogging,[APT28](https://attack.mitre.org/groups/G0007) has used tools to perform keylogging.(Citation: Microsoft SIR Vol 19)(Citation: DOJ GRU Indictment Jul 2018)(Citation: TrendMicro Pawn Storm Dec 2020)
G0007,APT28,TA0002,Execution,T1559,Inter-Process Communication,nan
G0007,APT28,TA0002,Execution,T1559.002,Dynamic Data Exchange,[APT28](https://attack.mitre.org/groups/G0007) has delivered [JHUHUGIT](https://attack.mitre.org/software/S0044) and [Koadic](https://attack.mitre.org/software/S0250) by executing PowerShell commands through DDE in Word documents.(Citation: McAfee APT28 DDE1 Nov 2017)(Citation: McAfee APT28 DDE2 Nov 2017)(Citation: Palo Alto Sofacy 06-2018)
G0007,APT28,TA0005,Defense Evasion,T1036,Masquerading,[APT28](https://attack.mitre.org/groups/G0007) has renamed the WinRAR utility to avoid detection.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
G0007,APT28,TA0005,Defense Evasion,T1036.005,Match Legitimate Name or Location,"[APT28](https://attack.mitre.org/groups/G0007) has changed extensions on files containing exfiltrated data to make them appear benign, and renamed a web shell instance to appear as a legitimate OWA page.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)"
G0007,APT28,TA0006,Credential Access,T1040,Network Sniffing,"[APT28](https://attack.mitre.org/groups/G0007) deployed the open source tool Responder to conduct NetBIOS Name Service poisoning, which captured usernames and hashed passwords that allowed access to legitimate credentials.(Citation: FireEye APT28)(Citation: FireEye APT28 Hospitality Aug 2017) [APT28](https://attack.mitre.org/groups/G0007) close-access teams have used Wi-Fi pineapples to intercept Wi-Fi signals and user credentials.(Citation: US District Court Indictment GRU Oct 2018)"
